grado,asignatura,facultad
grado-edificacion-administ-direcc-empresas,Guía docente de Economía Aplicada a la Empresa (2181112),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-enfermeria-melilla,Guía docente de Fisiología I (5071113),Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-edificacion,Guía docente de Expresión Gráfica I: Procedimientos Directos (2301112),E-T-S--de-Ingeniería-de-Edificación
grado-ciencias-politicas-administracion,Guía docente de Fundamentos de Ciencia de la Administración (2121112),Facultad-de-Ciencias-Políticas-y-Sociología
grado-educacion-infantil-melilla,Guía docente de Didáctica: Teoría y Práctica de la Enseñanza (5581113),Facultad-de-Ciencias-de-la-Educación-y-del-Deporte--Melilla
grado-estudios-arabes-islamicos,Guía docente de El Español Actual: Norma y Uso (2791111),Facultad-de-Filosofía-y-Letras
grado-educacion-infantil-ceuta,Guía docente de Didáctica: Teoría y Práctica de la Enseñanza (4581113),Facultad-de-Educación--Economía-y-Tecnología-de-Ceuta
grado-educacion-infantil,Guía docente de Didáctica: Teoría y Práctica de la Enseñanza (2581113),Facultad-de-Ciencias-de-la-Educación
grado-biologia,Guía docente de Desarrollo Conceptual de la Biología (2001111),Facultad-de-Ciencias
grado-edificacion-administ-direcc-empresas,Guía docente de Física I: Mecánica (2181115),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Ciencias-Económicas-y-Empresariales
grado-historia,Guía docente de Filosofía (2921115),Facultad-de-Filosofía-y-Letras
grado-edificacion,Guía docente de Física I: Mecánica (2301114),E-T-S--de-Ingeniería-de-Edificación
grado-psicologia,Guía docente de Descripción y Exploración de Datos en Psicología (2641112),Facultad-de-Psicología
grado-medicina,Guía docente de Fisiología General (2221114),Facultad-de-Medicina
grado-estudios-ingleses,Guía docente de El Español Actual: Norma y Uso (2851111),Facultad-de-Filosofía-y-Letras
grado-educacion-primaria,Guía docente de Enseñanza y Aprendizaje de las Artes Visuales y Plásticas (2571114),Facultad-de-Ciencias-de-la-Educación
grado-relaciones-laborales-recursos-humanos,Guía docente de Economía (2591113),Facultad-de-Relaciones-Laborales-y-Recursos-Humanos
grado-farmacia-nutricion-humana-dietetica,Guía docente de Física y Fisicoquímica Aplicadas a la Farmacia (2251113),Facultad-de-Farmacia
grado-inga-informatica-administ-direcc-empresas,Guía docente de Economía Política (2161112),E-T-S--de-Ingenierías-Informática-y-de-TelecomunicaciónFacultad-de-Ciencias-Económicas-y-Empresariales
grado-ciencia-tecnologia-alimentos,Guía docente de Economía y Gestión de Empresa (2031113),Facultad-de-Farmacia
grado-quimica,Guía docente de Física I (2911111),Facultad-de-Ciencias
grado-enfermeria-ceuta,Guía docente de Fisiología I (4071113),Facultad-de-Ciencias-de-la-Salud-de-Ceuta
grado-marketing-investigacion-mercados,Guía docente de Economía Política (2361115),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-administracion-direccion-empresas-derecho,Guía docente de Derecho Romano (2281115),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Derecho
grado-filologia-hispanica,Guía docente de Fonética y Fonología del Español (2831113),Facultad-de-Filosofía-y-Letras
grado-lenguas-modernas-sus-literaturas,Guía docente de El Español Actual: Norma y Uso (2731111),Facultad-de-Filosofía-y-Letras
grado-literaturas-comparadas,Guía docente de El Español Actual: Norma y Uso (2901111),Facultad-de-Filosofía-y-Letras
grado-administracion-direccion-empresas-derecho,Guía docente de Economía Política (2281113),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Derecho
grado-cc-politicas-admon-sociologia,Guía docente de Fundamentos de Ciencia Política: Conceptos y Enfoques (2191114),Facultad-de-Ciencias-Políticas-y-Sociología
grado-fisioterapia-melilla,"Guía docente de Fisiología Humana I, Neurológica, Hematológica e Inmunitaria (541111B)",Facultad-de-Ciencias-de-la-Salud-de-Melilla
grado-finanzas-contabilidad,Guía docente de Fundamentos de Direcc. y Administr. Empresas (2331112),Facultad-de-Ciencias-Económicas-y-Empresariales
grado-relaciones-laborales-recursos-humanos,Guía docente de Elementos de Derecho Privado (2591111),Facultad-de-Relaciones-Laborales-y-Recursos-Humanos
grado-ciencias-ambientales,Guía docente de Física (2061112),Facultad-de-Ciencias
grado-historia-ciencias-musica,Guía docente de Fundamentos de la Expresión Musical y su Evolución I (2991114),Facultad-de-Filosofía-y-Letras
grado-biologia,Guía docente de El Medio Físico (2001115),Facultad-de-Ciencias
grado-administracion-direccion-empresas-dcho-melilla,Guía docente de Fundamentos de Dirección  y Administración de Empresas (5281112),Facultad-de-Ciencias-Sociales-y-Jurídicas-de-Melilla
grado-administracion-direccion-empresas-derecho,Guía docente de Fundamentos de Dirección y Administración de Empresas (2281112),Facultad-de-Ciencias-Económicas-y-EmpresarialesFacultad-de-Derecho
grado-ciencias-politicas-administ-derecho,Guía docente de Fundamentos de Ciencia de la Administración (2131112),Facultad-de-Ciencias-Políticas-y-SociologíaFacultad-de-Derecho
